Res	Avg.E	Form
5WWX	7.328025	B
5X6B	252.687492	B
5ZQ8	112.073461	B
5ZSC	233.894977	B
5ZW4	53.554806	B
6A4E	24.924788	B
6A6J	8.685615	B
6DCB	73.525011	B
6FQ3	146.503647	B
6GC5	23.898276	B
6HAU	135.059268	B
6I0V	137.733845	B
6L1W	35.808237	B
6L5N	78.765092	B
6LLB	91.799700	B
6LT7	24.588799	B
6LVR	41.592471	B
6PZQ	56.705123	B
6R9P	218.192383	B
6RTI	247.205938	B
6SY4	82.822393	B
6U6Y	254.992076	B
6U9X	80.982855	B
6ZOT	50.200092	B
6WXY	289.925391	B
6ZDP	242.623000	B
7C45	39.660329	B
7DOL	156.735089	B
7E8O	112.412167	B
7EIU	31.033870	B
7K5L	31.150760	B
7K98	346.003805	B
7KFN	190.828264	B
7KKV	18.038275	B
7KL3	51.299524	B
7L6T	90.150788	B
7MJW	93.190908	B
7OG0	179.007703	B
7OM6	146.993205	B
7P0V	24.135863	B
7V4G	56.215016	B
7XD8	151.072373	B
7VSJ	24.221753	B
7VKI	28.571120	B
7VKL	19.881090	B
7Y7Q	629.023433	B
8AF0	75.244190	B
8DZK	156.937587	B
8EDJ	138.837518	B
8H1B	36.812423	B
7YSE	224.114301	B
7XWZ	29.825235	B
8AXF	228.523998	B
8JOZ	54.029890	B
7ZLQ	19.842317	B
8TG4	30.287907	B
1ASY	138.037640	U
1B23	59.973273	U
1C0A	165.349337	U
1QTQ	140.241505	U
2BTE	267.351876	U
2DRB	142.750915	U
2FMT	43.379717	U
2ZZM	76.004393	U
3HL2	394.217749	U
3VJR	42.954338	U
1DFU	16.185428	U
1FEU	23.630390	U
1MMS	25.970599	U
1OOA	64.742538	U
1R3E	56.383932	U
2R8S	103.970420	U
3SNP	285.620434	U
1JBS	50.372654	U
1WSU	52.920453	U
1ZBH	152.203334	U
2BH2	67.231637	U
1F7U	163.573606	U
1H3E	195.195995	U
1H4S	326.587513	U
1J1U	160.274691	U
1N78	143.507781	U
1QF6	115.759220	U
1SER	211.758876	U
1U0B	102.904519	U
1VFG	129.758631	U
2AZX	289.084477	U
2FK6	55.279569	U
3ADB	59.955874	U
3AMT	120.982810	U
4YCP	31.531610	U
4YVJ	96.871622	U
5HR7	72.867167	U
1SDS	16.995122	U
2HW8	31.794687	U
1MSW	222.642716	U
1N35	440.450686	U
1Q2R	200.357197	U
1WNE	177.954137	U
1YVP	91.340871	U
1ZBI	31.095894	U
2AZ0	11.498529	U
2BGG	124.801795	U
2EZ6	102.584127	U
2F8S	268.064425	U
2GJW	137.887106	U
2GXB	5.928772	U
2QUX	20.626236	U
2Y8W	15.386006	U
2ZKO	27.603201	U
3BSN	100.915400	U
3DD2	82.304215	U
3EQT	60.638731	U
3FTE	59.848071	U
3KS8	38.246890	U
3MOJ	11.752761	U
3O3I	20.134544	U
3OIJ	82.507811	U
3OL6	141.395337	U
3RW6	40.632904	U
4ERD	23.782444	U
4FVU	43.265838	U
4IG8	111.203333	U
4ILL	125.012235	U
4ZT0	296.249647	U
5ED1	84.098849	U
5F5H	35.450092	U
1AV6	139.064960	U
1C9S	7.661463	U
1CVJ	10.973040	U
1G2E	19.225686	U
1K8W	38.417170	U
1KQ2	124.236591	U
1M5O	11.813761	U
1M8V	25.053882	U
1M8W	58.652637	U
1UVI	185.602926	U
1WPU	23.016943	U
2A8V	19.922691	U
2ASB	20.865341	U
2GIC	141.868419	U
2IX1	104.456818	U
2JEA	77.665664	U
2JLU	98.997460	U
2PY9	2.086134	U
2Q66	152.334386	U
2R7R	394.645184	U
2XGJ	255.608104	U
2XNR	16.804131	U
2XZO	156.017246	U
3AEV	18.988807	U
3BX2	46.725246	U
3D2S	17.042832	U
3MDG	121.157640	U
3NMR	26.641047	U
3O8C	136.245203	U
3PF4	5.281580	U
3QJJ	54.700812	U
3RC8	164.171997	U
4E78	105.578118	U
4H5P	105.343500	U
4HOR	130.040738	U
4J7M	139.752290	U
4M59	399.343408	U
4MDX	17.468084	U
4N2Q	27.591667	U
4QU6	8.885372	U
5BUD	143.134459	U
5DET	46.781262	U
5EIM	25.394116	U
5ELS	43.308713	U
5EX7	80.058648	U
1G1X	24.297694	U
2OZB	17.173659	U
3A6P	254.254147	U
3IEV	26.409524	U
3ZC0	367.405542	U
5WTK	306.542005	U
5LTA	208.659924	U
5WTY	132.718732	U
5GXH	186.281696	U
5T8Y	93.367735	U
5B63	128.990639	U
5SZE	24.778891	U
5V7C	73.354140	U
5W0M	89.675680	U
5WT1	49.725728	U
5WWX	10.442853	U
5X6B	258.844207	U
5ZQ8	112.690638	U
5ZSC	258.340209	U
5ZW4	65.567131	U
6A4E	44.468315	U
6A6J	9.465406	U
6DCB	75.274986	U
6FQ3	132.147406	U
6GC5	18.497713	U
6HAU	130.124849	U
6I0V	105.384053	U
6L1W	40.025663	U
6L5N	91.849787	U
6LLB	83.900073	U
6LT7	21.701741	U
6LVR	43.629138	U
6PZQ	63.521711	U
6R9P	199.994634	U
6RTI	290.286904	U
6SY4	90.532596	U
6U6Y	287.725074	U
6U9X	81.657242	U
6ZOT	52.879713	U
6WXY	291.283307	U
6ZDP	241.812782	U
7C45	29.883101	U
7DOL	169.994742	U
7E8O	110.697557	U
7EIU	30.210096	U
7K5L	31.212458	U
7K98	340.397802	U
7KFN	181.050361	U
7KKV	17.878356	U
7KL3	42.140859	U
7L6T	91.255692	U
7MJW	86.092957	U
7OG0	159.621583	U
7OM6	131.690893	U
7P0V	11.021322	U
7V4G	48.430950	U
7XD8	153.558233	U
7VSJ	38.631923	U
7VKI	30.521676	U
7VKL	19.550842	U
7Y7Q	652.875934	U
8AF0	86.485307	U
8DZK	137.025979	U
8EDJ	114.632862	U
8H1B	36.296739	U
7YSE	249.396525	U
7XWZ	29.356618	U
8AXF	273.979412	U
8JOZ	49.025316	U
7ZLQ	30.085080	U
8TG4	25.517129	U
