Res	Avg.E	Form	Res	Avg.E	Form
7E8O	0.669525	U	7E8O	112.412167	B
7EIU	20.761688	U	7EIU	31.033870	B
7K5L	8.073113	U	7K5L	31.150760	B
7K98	59.531392	U	7K98	346.003805	B
7KFN	2.125204	U	7KFN	190.828264	B
7KKV	1.572956	U	7KKV	18.038275	B
7KL3	10.502045	U	7KL3	51.299524	B
7L6T	2.717895	U	7L6T	90.150788	B
7MJW	11.970351	U	7MJW	93.190908	B
7OG0	9.839125	U	7OG0	179.007703	B
7OM6	24.169835	U	7OM6	146.993205	B
7P0V	3.644908	U	7P0V	24.135863	B
7V4G	13.547832	U	7V4G	56.215016	B
7XD8	29.820132	U	7XD8	151.072373	B
7VSJ	11.752880	U	7VSJ	24.221753	B
7VKI	10.803575	U	7VKI	28.571120	B
7VKL	1.142136	U	7VKL	19.881090	B
7Y7Q	2.314811	U	7Y7Q	629.023433	B
8AF0	0.000000	U	8AF0	75.244190	B
8DZK	14.751229	U	8DZK	156.937587	B
8EDJ	32.345148	U	8EDJ	138.837518	B
8H1B	10.926407	U	8H1B	36.812423	B
7YSE	15.716127	U	7YSE	224.114301	B
7XWZ	8.297844	U	7XWZ	29.825235	B
8AXF	59.595875	U	8AXF	228.523998	B
8JOZ	16.686012	U	8JOZ	54.029890	B
7ZLQ	3.025990	U	7ZLQ	19.842317	B
8TG4	3.315075	U	8TG4	30.287907	B
1ASY	5.972337	B	1ASY	138.037640	U
1B23	13.645576	B	1B23	59.973273	U
1C0A	9.824957	B	1C0A	165.349337	U
1QTQ	24.722460	B	1QTQ	140.241505	U
2BTE	2.514315	B	2BTE	267.351876	U
2DRB	17.567672	B	2DRB	142.750915	U
2FMT	9.022266	B	2FMT	43.379717	U
2ZZM	23.086266	B	2ZZM	76.004393	U
3HL2	3.124007	B	3HL2	394.217749	U
3VJR	0.948941	B	3VJR	42.954338	U
1DFU	6.622732	B	1DFU	16.185428	U
1FEU	10.642886	B	1FEU	23.630390	U
1MMS	0.812725	B	1MMS	25.970599	U
1OOA	9.455149	B	1OOA	64.742538	U
1R3E	17.786753	B	1R3E	56.383932	U
2R8S	20.385527	B	2R8S	103.970420	U
3SNP	9.291336	B	3SNP	285.620434	U
1JBS	12.430508	B	1JBS	50.372654	U
1WSU	3.729906	B	1WSU	52.920453	U
1ZBH	0.000000	B	1ZBH	152.203334	U
2BH2	20.241231	B	2BH2	67.231637	U
1F7U	29.071773	B	1F7U	163.573606	U
1H3E	12.349367	B	1H3E	195.195995	U
1H4S	19.507361	B	1H4S	326.587513	U
1J1U	0.000000	B	1J1U	160.274691	U
1N78	24.306220	B	1N78	143.507781	U
1QF6	14.433918	B	1QF6	115.759220	U
1SER	0.000000	B	1SER	211.758876	U
1U0B	18.446762	B	1U0B	102.904519	U
1VFG	6.259662	B	1VFG	129.758631	U
2AZX	12.136694	B	2AZX	289.084477	U
2FK6	3.131351	B	2FK6	55.279569	U
3ADB	13.635651	B	3ADB	59.955874	U
3AMT	2.662746	B	3AMT	120.982810	U
4YCP	15.851037	B	4YCP	31.531610	U
4YVJ	25.469680	B	4YVJ	96.871622	U
5HR7	18.775590	B	5HR7	72.867167	U
1SDS	0.000000	B	1SDS	16.995122	U
2HW8	17.509622	B	2HW8	31.794687	U
1MSW	13.742577	B	1MSW	222.642716	U
1N35	9.688955	B	1N35	440.450686	U
1Q2R	6.069214	B	1Q2R	200.357197	U
1WNE	5.618604	B	1WNE	177.954137	U
1YVP	20.146712	B	1YVP	91.340871	U
1ZBI	0.000000	B	1ZBI	31.095894	U
2AZ0	0.000000	B	2AZ0	11.498529	U
2BGG	32.888739	B	2BGG	124.801795	U
2EZ6	9.675325	B	2EZ6	102.584127	U
2F8S	8.475351	B	2F8S	268.064425	U
2GJW	40.955229	B	2GJW	137.887106	U
2GXB	8.255983	B	2GXB	5.928772	U
2QUX	6.538588	B	2QUX	20.626236	U
2Y8W	10.884350	B	2Y8W	15.386006	U
2ZKO	0.000000	B	2ZKO	27.603201	U
3BSN	11.750712	B	3BSN	100.915400	U
3DD2	9.212480	B	3DD2	82.304215	U
3EQT	22.711308	B	3EQT	60.638731	U
3FTE	3.075668	B	3FTE	59.848071	U
3KS8	7.697824	B	3KS8	38.246890	U
3MOJ	0.000000	B	3MOJ	11.752761	U
3O3I	30.476621	B	3O3I	20.134544	U
3OIJ	0.000000	B	3OIJ	82.507811	U
3OL6	15.275987	B	3OL6	141.395337	U
3RW6	11.599098	B	3RW6	40.632904	U
4ERD	47.997015	B	4ERD	23.782444	U
4FVU	6.769600	B	4FVU	43.265838	U
4IG8	8.358210	B	4IG8	111.203333	U
4ILL	33.689781	B	4ILL	125.012235	U
4ZT0	61.462251	B	4ZT0	296.249647	U
5ED1	4.709739	B	5ED1	84.098849	U
5F5H	6.332824	B	5F5H	35.450092	U
1AV6	1.903095	B	1AV6	139.064960	U
1C9S	8.119381	B	1C9S	7.661463	U
1CVJ	8.295565	B	1CVJ	10.973040	U
1G2E	25.528150	B	1G2E	19.225686	U
1K8W	5.129987	B	1K8W	38.417170	U
1KQ2	39.206403	B	1KQ2	124.236591	U
1M5O	7.814082	B	1M5O	11.813761	U
1M8V	8.033741	B	1M8V	25.053882	U
1M8W	29.109040	B	1M8W	58.652637	U
1UVI	30.802798	B	1UVI	185.602926	U
1WPU	6.768357	B	1WPU	23.016943	U
2A8V	10.621532	B	2A8V	19.922691	U
2ASB	3.730804	B	2ASB	20.865341	U
2GIC	2.298613	B	2GIC	141.868419	U
2IX1	50.450075	B	2IX1	104.456818	U
2JEA	4.367189	B	2JEA	77.665664	U
2JLU	12.630245	B	2JLU	98.997460	U
2PY9	0.000000	B	2PY9	2.086134	U
2Q66	16.355552	B	2Q66	152.334386	U
2R7R	14.563374	B	2R7R	394.645184	U
2XGJ	3.861393	B	2XGJ	255.608104	U
2XNR	10.127787	B	2XNR	16.804131	U
2XZO	18.767065	B	2XZO	156.017246	U
3AEV	2.041868	B	3AEV	18.988807	U
3BX2	28.113883	B	3BX2	46.725246	U
3D2S	4.946160	B	3D2S	17.042832	U
3MDG	8.113934	B	3MDG	121.157640	U
3NMR	5.218490	B	3NMR	26.641047	U
3O8C	7.593224	B	3O8C	136.245203	U
3PF4	9.585038	B	3PF4	5.281580	U
3QJJ	24.655312	B	3QJJ	54.700812	U
3RC8	7.199535	B	3RC8	164.171997	U
4E78	25.016345	B	4E78	105.578118	U
4H5P	33.581736	B	4H5P	105.343500	U
4HOR	32.893025	B	4HOR	130.040738	U
4J7M	4.703375	B	4J7M	139.752290	U
4M59	13.771552	B	4M59	399.343408	U
4MDX	13.756870	B	4MDX	17.468084	U
4N2Q	7.352960	B	4N2Q	27.591667	U
4QU6	3.613026	B	4QU6	8.885372	U
5BUD	9.816990	B	5BUD	143.134459	U
5DET	21.575424	B	5DET	46.781262	U
5EIM	16.545681	B	5EIM	25.394116	U
5ELS	0.000000	B	5ELS	43.308713	U
5EX7	9.582950	B	5EX7	80.058648	U
1G1X	7.804396	B	1G1X	24.297694	U
2OZB	0.000000	B	2OZB	17.173659	U
3A6P	8.717240	B	3A6P	254.254147	U
3IEV	7.954340	B	3IEV	26.409524	U
3ZC0	9.408467	B	3ZC0	367.405542	U
5WTK	60.477954	B	5WTK	306.542005	U
5LTA	11.349811	B	5LTA	208.659924	U
5WTY	25.928764	B	5WTY	132.718732	U
5GXH	29.952084	B	5GXH	186.281696	U
5T8Y	0.000000	B	5T8Y	93.367735	U
5B63	20.376233	B	5B63	128.990639	U
5SZE	3.732513	B	5SZE	24.778891	U
5V7C	15.838505	B	5V7C	73.354140	U
5W0M	13.949997	B	5W0M	89.675680	U
5WT1	35.567415	B	5WT1	49.725728	U
5WWX	2.938844	B	5WWX	10.442853	U
5X6B	8.394245	B	5X6B	258.844207	U
5ZQ8	26.054747	B	5ZQ8	112.690638	U
5ZSC	5.824094	B	5ZSC	258.340209	U
5ZW4	5.252555	B	5ZW4	65.567131	U
6A4E	5.019623	B	6A4E	44.468315	U
6A6J	10.640290	B	6A6J	9.465406	U
6DCB	2.662924	B	6DCB	75.274986	U
6FQ3	13.648879	B	6FQ3	132.147406	U
6GC5	23.522857	B	6GC5	18.497713	U
6HAU	20.738042	B	6HAU	130.124849	U
6I0V	2.673174	B	6I0V	105.384053	U
6L1W	15.461819	B	6L1W	40.025663	U
6L5N	5.899907	B	6L5N	91.849787	U
6LLB	11.898181	B	6LLB	83.900073	U
6LT7	7.734282	B	6LT7	21.701741	U
6LVR	7.812112	B	6LVR	43.629138	U
6PZQ	9.125311	B	6PZQ	63.521711	U
6R9P	13.166793	B	6R9P	199.994634	U
6RTI	9.564715	B	6RTI	290.286904	U
6SY4	6.928219	B	6SY4	90.532596	U
6U6Y	42.670224	B	6U6Y	287.725074	U
6U9X	19.243298	B	6U9X	81.657242	U
6ZOT	0.000000	B	6ZOT	52.879713	U
6WXY	21.988099	B	6WXY	291.283307	U
6ZDP	10.559124	B	6ZDP	241.812782	U
7C45	29.505631	B	7C45	29.883101	U
7DOL	13.802530	B	7DOL	169.994742	U
7E8O	0.387914	B	7E8O	110.697557	U
7EIU	27.419406	B	7EIU	30.210096	U
7K5L	7.802392	B	7K5L	31.212458	U
7K98	66.568451	B	7K98	340.397802	U
7KFN	2.732574	B	7KFN	181.050361	U
7KKV	4.576707	B	7KKV	17.878356	U
7KL3	13.320127	B	7KL3	42.140859	U
7L6T	10.577812	B	7L6T	91.255692	U
7MJW	7.633500	B	7MJW	86.092957	U
7OG0	7.292875	B	7OG0	159.621583	U
7OM6	20.495500	B	7OM6	131.690893	U
7P0V	4.281013	B	7P0V	11.021322	U
7V4G	22.595084	B	7V4G	48.430950	U
7XD8	24.662282	B	7XD8	153.558233	U
7VSJ	17.126200	B	7VSJ	38.631923	U
7VKI	10.969945	B	7VKI	30.521676	U
7VKL	1.308786	B	7VKL	19.550842	U
7Y7Q	6.662817	B	7Y7Q	652.875934	U
8AF0	0.000000	B	8AF0	86.485307	U
8DZK	19.482851	B	8DZK	137.025979	U
8EDJ	25.852107	B	8EDJ	114.632862	U
8H1B	9.144658	B	8H1B	36.296739	U
7YSE	11.084717	B	7YSE	249.396525	U
7XWZ	9.440888	B	7XWZ	29.356618	U
8AXF	54.502626	B	8AXF	273.979412	U
8JOZ	16.727923	B	8JOZ	49.025316	U
7ZLQ	1.167054	B	7ZLQ	30.085080	U
8TG4	8.110436	B	8TG4	25.517129	U
