B_PDB	IU_DELG	IB_DELG	IU_AVG_DELG	IB_AVG_DELG	I_SUM_DELTAE	I_AVG_DELTAE	ICOUNT	U_PDB	NU_DELG	NB_DELG	NU_AVG_DELG	NB_AVG_DELG	N_SUM_DELTAE	N_AVG_DELTAE	NCOUNT
3EQT	40.790971766015204	45.24471305660309	1.1024586963787892	1.2228300826108942	-4.453741290587881	-0.12037138623210489	37	3EQT	180.62401922674997	182.76850408377157	1.0440694752991329	1.0564653415246912	-2.144484857021628	-0.012395866225558544	173
3FTE	6.435758955013963	5.014333147622403	0.9193941364305661	0.7163333068032004	1.4214258073915602	0.20306082962736574	7	3FTE	197.06990665645955	208.54241099148337	1.0158242611157708	1.0749608813993987	-11.472504335023771	-0.059136620283627685	194
3KS8	23.526968421211564	27.686072382323495	0.8402488721861273	0.9887882993686963	-4.1591039611119305	-0.14853942718256893	28	3KS8	143.989327640561	172.13901880159395	0.8570793311938154	1.0246370166761545	-28.14969116103297	-0.1675576854823391	168
3MOJ	12.503783783581287	12.332890861912214	0.7355166931518404	0.7254641683477773	0.17089292166907477	0.010052524804063222	17	3MOJ	33.0695690444633	43.90098609495076	0.9448448298418086	1.2543138884271645	-10.83141705048745	-0.3094690585853557	35
3O3I	44.82601991909088	39.227115756334534	2.6368247011229933	2.3074773974314433	5.598904162756349	0.32934730369154996	17	3O3I	73.35996281582177	81.72057368319415	0.9527267898158672	1.0613061517297941	-8.360610867372353	-0.10857936191392666	77
3OIJ	21.97438870950462	21.258011831725774	0.8138662485001711	0.7873337715453991	0.7163768777788498	0.026532476954772215	27	3OIJ	299.43720832272777	293.98135820589505	0.9357412760085243	0.918691744393422	5.455850116832657	0.017049531615102052	320
3OL6	57.92741731792964	65.72775570066824	0.8776881411807521	0.9958750863737612	-7.8003383827386	-0.1181869451930091	66	3OL6	339.9739195782464	357.5302701425835	1.0966900631556336	1.15332345207285	-17.556350564337116	-0.056633388917216504	310
3RW6	37.35336188571261	40.970786344969206	0.9110576069686002	0.9992874718285172	-3.6174244592565947	-0.08822986485991695	41	3RW6	163.41070663456694	167.11103266029286	0.9556181674536078	0.9772575009373852	-3.7003260257259143	-0.021639333483777275	171
4ERD	53.385310744268125	64.70553683262179	1.668290960758379	2.022048026019431	-11.320226088353664	-0.353757065261052	32	4ERD	121.10789031490629	133.17516236526902	0.8650563593921877	0.9512511597519215	-12.06727205036276	-0.086194800359734	140
4FVU	21.145094478745197	17.91173117545305	1.0069092608926284	0.8529395797834786	3.233363303292141	0.15396968110914958	21	4FVU	148.64305620537817	150.34213185145893	0.9589874593895366	0.9699492377513479	-1.6990756460807273	-0.010961778361811144	155
4IG8	37.91189287679754	34.9659901068391	0.9246803140682326	0.8528290269960757	2.9459027699584404	0.07185128707215709	41	4IG8	266.28856183436824	247.5907087572702	1.199498026280938	1.1152734628705865	18.69785307709796	0.08422456341035117	222
4ILL	93.00275714432486	104.79049359314047	0.8773845013615553	0.9885895621994384	-11.787736448815618	-0.11120506083788319	106	4ILL	345.72602446179394	391.17103847221006	1.0050175129703312	1.1371251118378198	-45.4450140104161	-0.13210759886748866	344
4ZT0	125.8618740219279	122.74608499951306	1.1986845144945515	1.1690103333286959	3.115789022414837	0.02967418116585559	105	4ZT0	879.1311527084929	891.1318175241321	1.0210582493710718	1.0349963037446366	-12.000664815639212	-0.013938054373564705	861
5ED1	24.191153891486962	22.428949663834587	0.9304289958264216	0.8626519101474841	1.762204227652373	0.06777708567893742	26	5ED1	259.5439556899909	277.63197283622264	0.9577267737638041	1.0244722244879065	-18.088017146231767	-0.06674545072410246	271
5F5H	25.61106425571662	23.130103643111305	1.0244425702286648	0.9252041457244522	2.4809606126053154	0.09923842450421262	25	5F5H	94.46879767609356	86.5334003238042	1.0858482491505006	0.9946367853310828	7.935397352289331	0.0912114638194176	87
1AV6	16.351644676404685	14.116169016125815	0.9618614515532168	0.8303628833015185	2.235475660278872	0.13149856825169837	17	1AV6	289.95300136339085	280.01495578369145	1.2338425589931525	1.1915530033348571	9.938045579699482	0.04228955565829567	235
1C9S	19.240274808597434	17.252372051567765	1.1317808710939667	1.0148454147981039	1.9879027570296723	0.11693545629586308	17	1C9S	26.78449433772019	25.445949956716394	0.8640159463780707	0.8208370953779481	1.338544381003803	0.04317885100012268	31
1CVJ	34.52125020072896	18.527214839735	1.816907905301524	0.9751165705123683	15.994035360993957	0.8417913347891556	19	1CVJ	45.88063316535042	47.350544327003945	0.9558465242781337	0.9864696734792489	-1.4699111616535254	-0.030623149201115113	48
1G2E	57.99334823987115	50.98470491568485	1.4144719082895403	1.2435293881874354	7.008643324186306	0.17094252010210503	41	1G2E	90.90886664440858	99.48566360742844	0.9569354383621955	1.0472175116571414	-8.576796963019856	-0.09028207329494585	95
1K8W	30.61478329084363	28.557800274259904	0.9567119778388634	0.892431258570622	2.0569830165837284	0.06428071926824151	32	1K8W	168.3069287493858	179.77509717943252	0.9247633447768451	0.9877752592276512	-11.468168430046696	-0.06301191445080602	182
1KQ2	65.22365232330391	58.84766497921149	1.4823557346205434	1.3374469313457156	6.375987344092426	0.14490880327482786	44	1KQ2	299.03347967164154	297.90973630719066	1.1241860138031636	1.1199614146886867	1.1237433644509363	0.004224599114477204	266
1M5O	23.69197453407677	26.994412936434806	0.9476789813630708	1.0797765174573923	-3.3024384023580335	-0.13209753609432134	25	1M5O	47.66751409438939	45.09883741824072	1.0142024275401997	0.959549732302994	2.568676676148672	0.05465269523720579	47
1M8V	18.918938918354076	19.85991114979354	0.9459469459177038	0.9929955574896769	-0.9409722314394608	-0.04704861157197304	20	1M8V	88.18431854921349	93.26518969414461	0.8907506924162979	0.9420726231731779	-5.080871144931107	-0.05132193075687987	99
1M8W	60.73758083736392	52.215457248856154	1.5983573904569452	1.3740909802330568	8.522123588507771	0.2242664102238887	38	1M8W	222.00923351768841	209.39295200970986	0.9407170911766458	0.8872582712275842	12.616281507978595	0.05345881994906184	236
1UVI	45.37423150118134	48.9394709358372	1.1940587237152984	1.287880814100979	-3.565239434655851	-0.09382209038568029	38	1UVI	490.597194113226	496.2365325760354	1.0285056480361132	1.0403281605367618	-5.639338462809365	-0.011822512500648563	477
1WPU	17.262252153381176	19.582983423147887	0.9085395870200619	1.030683338060415	-2.3207312697667124	-0.12214375104035329	19	1WPU	84.9237854175637	92.83902893172238	0.913158982984556	0.9982691282980901	-7.915243514158691	-0.08511014531353431	93
2A8V	26.318715922361555	18.08228152175656	2.0245166094124274	1.3909447324428124	8.236434400604995	0.633571876969615	13	2A8V	77.11731682775724	73.50348629218243	0.976168567439965	0.9304238771162333	3.6138305355748024	0.04574469032373168	79
2ASB	32.54631725290162	28.091306394849692	0.9862520379667159	0.8512517089348391	4.455010858051929	0.13500032903187664	33	2ASB	111.94713147491002	96.3523362287225	0.9027994473783066	0.7770349695864718	15.594795246187527	0.1257644777918349	124
2GIC	30.829759426936015	26.71783104321927	0.9634299820917505	0.8349322201006022	4.111928383716737	0.12849776199114804	32	2GIC	343.95391131680356	325.11890611289084	1.1131194540996878	1.052164744701912	18.835005203912747	0.06095470939777588	309
2IX1	87.37997339047264	95.87893235916549	1.1348048492269174	1.245180939729422	-8.49895896869286	-0.11037609050250466	77	2IX1	396.649173664913	416.38727155596405	0.9466567390570716	0.9937643712552842	-19.738097891051055	-0.04710763219821254	419
2JEA	19.112777302650578	25.176356169426956	0.7351068193327145	0.968321391131806	-6.063578866776371	-0.2332145717990912	26	2JEA	336.4515041048699	352.786406598582	0.9371908192336209	0.9826919403860223	-16.334902493712086	-0.045501121152401354	359
2JLU	29.928303561358618	39.86127588532349	0.8088730692259086	1.0773317806844185	-9.93297232396487	-0.26845871145851	37	2JLU	321.00992511810466	325.3432588889309	1.0000309193710426	1.0135304015231492	-4.333333770826277	-0.013499482152106782	321
2PY9	10.41977959086787	10.803117207652042	0.7442699707762764	0.771651229118003	-0.38333761678417255	-0.02738125834172661	14	2PY9	29.44434612297747	35.86122630546064	0.7361086530744367	0.896530657636516	-6.416880182483168	-0.1604220045620792	40
2Q66	32.89686268714618	41.445264204698084	0.9399103624898909	1.1841504058485166	-8.548401517551891	-0.24424004335862545	35	2Q66	408.6334457744231	387.94888162080457	1.0725287290667271	1.0182385344378073	20.68456415361856	0.0542901946289201	381
2R7R	42.63699880459343	40.662202343165184	1.2181999658455267	1.1617772098047194	1.9747964614282445	0.05642275604080699	35	2R7R	993.7332034057844	963.9556533323116	1.1228623767297	1.0892154274941375	29.7775500734727	0.03364694923556237	885
2XGJ	23.713335900919233	26.263962603872443	0.8469048536042584	0.9379986644240158	-2.5506267029532017	-0.0910938108197572	28	2XGJ	755.4546537821709	731.3392697499035	1.0434456543952637	1.0101371129142314	24.115384032267386	0.0333085414810323	724
2XNR	19.423357817377696	18.016062396217404	1.387382701241264	1.2868615997298145	1.407295421160292	0.10052110151144943	14	2XNR	49.96110084494483	52.14412925800692	1.0630021456371241	1.1094495586809983	-2.1830284130620834	-0.04644741304387411	47
2XZO	45.22927926208707	43.88884983821536	1.1597251092842837	1.125355124056804	1.3404294238717105	0.034369985227479756	39	2XZO	450.02136380586944	465.62711723687147	1.0135616301933996	1.0487097235064673	-15.605753431001997	-0.03514809331306756	444
3AEV	22.989327733880177	26.348346999514572	0.7184164916837555	0.8233858437348304	-3.3590192656343945	-0.10496935205107483	32	3AEV	92.33446098644914	100.00935799024398	0.9519016596541149	1.031024309177773	-7.674897003794837	-0.0791226495236581	97
3BX2	51.67550268349175	52.17208337599805	1.2017558763602734	1.2133042645580943	-0.4965806925063051	-0.01154838819782105	43	3BX2	193.9283840592989	194.85234500618418	0.9019924839967391	0.9062899767729496	-0.9239609468852628	-0.004297492776210525	215
3D2S	9.507728788391223	13.811316450831917	0.7923107323659352	1.1509430375693264	-4.303587662440694	-0.3586323052033911	12	3D2S	45.529811654036976	47.48133247773834	1.0117735923119329	1.0551407217275186	-1.9515208237013717	-0.043367129415586035	45
3MDG	22.507243609398174	20.92500720962823	1.1845917689156933	1.1013161689278015	1.5822363997699418	0.08327559998789168	19	3MDG	323.5831038153681	372.9564568919423	1.0239971639726837	1.1802419521896907	-49.37335307657422	-0.15624478821700702	316
3NMR	16.402749659848205	15.875273890592837	0.9648676270498944	0.9338396406231081	0.5274757692553651	0.031027986426786183	17	3NMR	112.46514910782525	100.38834673969984	0.9612405906651731	0.8580200576042721	12.076802368125403	0.10322053306090088	117
3O8C	19.53345639221687	27.607404559281054	0.697623442579174	0.9859787342600377	-8.073948167064179	-0.28835529168086355	28	3O8C	447.21503078792216	432.7342718750066	1.0095147421849258	0.9768267988149133	14.480758912915526	0.032687943370012476	443
3PF4	21.55303357364779	15.430240231114666	1.6579256595113685	1.1869415562395897	6.122793342533128	0.4709841032717791	13	3PF4	31.513361597131098	29.470894313204717	0.9268635763862088	0.8667910092119034	2.0424672839263764	0.06007256717430519	34
3QJJ	57.1188153432784	52.26093213978962	1.2417133770277913	1.136107220430209	4.857883203488783	0.10560615659758224	46	3QJJ	163.7157254715218	156.95716188431663	1.0630891264384532	1.01920234989816	6.758563587205201	0.04388677654029351	154
3RC8	28.877551547146208	24.36633962607661	1.0695389461906002	0.9024570231880226	4.511211921069591	0.16708192300257743	27	3RC8	473.36701462062325	473.5782233905521	1.0495942674514929	1.050062579579938	-0.21120876992891624	-0.00046831212844549054	451
4E+078	46.89031828105189	50.567244358636394	1.2023158533603049	1.2965960091958049	-3.6769260775845085	-0.09428015583550022	39	4E+078	374.0275301148063	396.38001562670433	0.9615103601923042	1.018971762536515	-22.352485511898006	-0.057461402344210814	389
4H5P	72.49883827054707	71.56283742598467	1.2083139711757844	1.1927139570997445	0.9360008445623927	0.01560001407603988	60	4H5P	311.92651336355743	311.9484860675607	1.036300708849028	1.03637370786565	-0.02197270400327689	-7.299901662218236e-05	301
4HOR	51.96035905657516	50.68407369457498	1.2990089764143788	1.2671018423643745	1.2762853620001797	0.03190713405000449	40	4HOR	358.5705805183257	378.5360498992247	1.0215686054653155	1.0784502846131758	-19.965469380898906	-0.05688167914786013	351
4J7M	24.243044148443047	22.555050678593304	0.9324247749401172	0.8675019491766656	1.687993469849744	0.0649228257634517	26	4J7M	308.31674381912603	282.56858916186104	1.181290206203548	1.0826382726508086	25.74815465726505	0.09865193355273966	261
4M59	120.63062170919805	102.8623195629861	0.9138683462818035	0.7792599966892887	17.768302146211976	0.13460834959251497	132	4M59	991.8071046803809	988.4130508085982	1.1283357277364972	1.1244744605331038	3.3940538717827957	0.0038612672033933966	879
4MDX	35.08893395837269	38.736083416541305	0.974692609954797	1.0760023171261475	-3.6471494581686064	-0.10130970717135018	36	4MDX	110.67899291050715	125.27790016050042	0.8138161243419644	0.9211610305919149	-14.598907249993264	-0.10734490624995047	136
4N2Q	8.93609880474973	13.333878743632106	0.8936098804749729	1.3333878743632106	-4.397779938882378	-0.4397779938882378	10	4N2Q	116.20220401713445	117.35775212317459	0.9847644408231733	0.9945572213828355	-1.155548106040158	-0.009792780559662356	118
4QU6	14.41096346075067	9.603792848254935	1.441096346075067	0.9603792848254935	4.807170612495734	0.4807170612495734	10	4QU6	59.12094473625397	68.02619498426763	0.8445849248036281	0.9718027854895376	-8.905250248013651	-0.1272178606859093	70
5BUD	26.56760304433387	27.9378542460588	1.0218308863205334	1.074532855617646	-1.3702512017249313	-0.052701969297112745	26	5BUD	353.2467986614176	326.4328114803093	1.1249898046541962	1.0395949410200933	26.81398718110827	0.08539486363410277	314
5DET	38.645204258281574	47.46389443736443	1.0444649799535561	1.2828079577666063	-8.818690179082868	-0.23834297781305047	37	5DET	119.71495195399243	127.63001167792403	1.1293863391886079	1.2040567139426794	-7.915059723931617	-0.07467037475407186	106
5EIM	25.66782418510975	29.54047959537985	1.1667192811413523	1.342749072517266	-3.8726554102701014	-0.1760297913759137	22	5EIM	96.19012339260215	98.10967885622182	0.9160964132628776	0.9343778938687792	-1.9195554636196912	-0.01828148060590182	105
5ELS	4.1163540565820655	4.137320630344154	0.6860590094303443	0.6895534383906923	-0.020966573762088325	-0.003494428960348054	6	5ELS	102.37842690461099	77.68759708494595	1.2334750229471203	0.9359951456017584	24.69082981966505	0.2974798773453621	83
